ID,Material,E_MPa,L,W,H,Force_N,Angle,VM_Stress_MPa,Disp_mm
36347,Magnesium_AZ31B,45000,1766.55,28.76,21.55,164.61,334.72,56.026,119.68
36348,Magnesium_AZ31B,45000,488.22,11.46,65.14,1812.22,211.7,59.523,3.1098
36349,Steel_Mild,200000,1894.18,25.31,86.11,3730.62,236.59,189.566,26.1926
36350,Copper_Alloy,117000,225.58,22.51,88.13,29433.14,312.94,179.152,0.5491
36351,Stainless_304,193000,207.08,53.03,62.93,35844.68,329.94,116.366,0.2502
36352,Brass,105000,531.41,20.82,44.23,2025.15,221.79,107.355,4.2828
36353,Copper_Alloy,117000,652.06,27.35,98.63,2940.91,98.97,42.978,1.0493
36354,Copper_Alloy,117000,1417.08,35.63,80.0,5079.23,116.65,170.116,24.2098
36355,Stainless_304,193000,410.19,50.45,48.9,9153.89,105.6,181.108,2.1378
36356,Brass,105000,1659.9,51.62,59.13,3120.25,94.38,171.778,50.7918
36357,Steel_Mild,200000,933.11,15.44,74.36,1390.85,106.71,87.758,3.4096
36358,Magnesium_AZ31B,45000,220.71,44.12,89.19,14431.57,308.14,45.711,0.3467
36359,Copper_Alloy,117000,1490.28,15.9,65.59,457.78,325.86,33.953,6.4797
36360,Steel_High_Carbon,210000,1114.94,48.13,102.76,24844.88,272.39,327.206,12.5478
36361,Nylon_66,3000,1425.09,15.87,81.35,716.58,338.7,21.716,117.5679
36362,Nylon_66,3000,1017.21,54.52,90.26,827.66,187.26,1.605,3.6617
36363,Titanium_6Al4V,114000,1567.09,11.2,58.38,478.38,65.63,107.651,26.404
36364,Steel_Mild,200000,1444.99,11.62,112.1,3773.28,54.39,183.93,11.3087
36365,Stainless_304,193000,1731.34,39.8,59.13,2112.13,268.96,157.68,27.6053
36366,Titanium_6Al4V,114000,1012.51,11.08,105.0,2238.77,121.62,95.912,5.4133
36367,Copper_Alloy,117000,1035.88,21.97,105.9,9107.8,168.74,48.741,2.5903
36368,Magnesium_AZ31B,45000,1312.62,31.41,93.9,4007.71,74.87,110.426,29.9071
36369,Titanium_6Al4V,114000,1206.26,48.11,98.07,4053.11,89.04,63.442,5.5
36370,Steel_Mild,200000,425.63,18.59,44.6,950.54,228.58,50.035,0.6665
36371,Polycarbonate,2400,1525.12,42.32,57.29,150.12,195.36,2.68,29.5442
36372,Copper_Alloy,117000,210.79,45.3,100.63,45854.57,205.39,64.28,0.1374
36373,Nylon_66,3000,610.63,13.05,116.35,2796.67,282.66,57.184,40.3011
36374,Magnesium_AZ31B,45000,1279.67,47.34,23.82,248.67,331.47,34.145,34.5774
36375,Magnesium_AZ31B,45000,579.15,23.82,47.13,705.87,212.12,25.196,2.5988
36376,Aluminum_6061,69000,1897.63,12.0,75.11,915.69,265.7,153.67,71.137
36377,Magnesium_AZ31B,45000,1411.44,48.39,113.55,4971.42,218.56,42.794,10.9325
36378,Aluminum_6061,69000,1952.22,17.91,101.06,4101.11,9.7,46.493,16.1228
36379,Stainless_304,193000,1465.04,29.94,79.79,4163.33,272.89,191.893,17.8173
36380,Aluminum_6061,69000,1461.93,56.39,56.89,4698.74,227.41,167.276,60.3486
36381,Copper_Alloy,117000,1965.78,29.63,57.98,893.29,34.44,60.255,22.718
36382,Copper_Alloy,117000,774.53,12.11,55.01,369.49,294.23,42.976,2.655
36383,Copper_Alloy,117000,1335.2,32.26,65.19,3951.38,119.63,201.678,31.2746
36384,Magnesium_AZ31B,45000,1857.66,30.15,87.89,2068.65,246.77,91.302,52.9187
36385,Stainless_304,193000,1349.15,53.63,94.73,4960.21,247.0,77.216,5.0973
36386,Magnesium_AZ31B,45000,915.84,12.38,97.04,3190.21,306.33,122.842,15.5125
36387,Aluminum_6061,69000,1255.85,50.13,105.05,8348.21,337.92,44.239,6.2002
36388,Magnesium_AZ31B,45000,1608.17,42.81,72.98,1131.78,46.48,34.987,18.2334
36389,Titanium_6Al4V,114000,424.65,47.23,76.72,11452.5,314.62,77.154,1.027
36390,Brass,105000,887.52,41.99,105.3,8826.93,35.27,60.0,2.7688
36391,Brass,105000,1418.33,12.5,100.58,1744.17,105.9,113.32,14.3352
36392,Copper_Alloy,117000,1050.35,52.52,118.36,15280.91,88.09,131.053,6.9478
36393,Stainless_304,193000,1847.66,17.62,60.84,1281.46,273.17,217.573,42.1537
36394,Stainless_304,193000,1003.92,30.8,86.33,6273.32,99.43,162.891,6.5487
36395,Steel_High_Carbon,210000,1534.03,30.09,99.45,15210.6,305.24,387.307,28.8627
36396,Steel_Mild,200000,698.49,55.16,21.92,1540.85,175.82,19.032,1.3176
36397,Titanium_6Al4V,114000,1849.29,38.85,87.06,10027.88,21.25,139.744,31.4606
36398,Brass,105000,388.97,15.13,20.58,305.33,41.42,74.322,3.4339
36399,Magnesium_AZ31B,45000,1697.25,12.92,56.22,579.77,210.98,75.113,56.4927
36400,Titanium_6Al4V,114000,1624.64,28.14,34.42,849.18,287.39,237.215,106.2554
36401,Brass,105000,882.57,20.98,59.37,457.48,309.94,25.363,2.0923
36402,Magnesium_AZ31B,45000,829.13,41.54,37.11,696.8,128.93,47.43,12.9365
36403,Aluminum_6061,69000,910.56,36.9,73.65,7991.22,121.15,188.308,20.3042
36404,Magnesium_AZ31B,45000,871.27,24.05,95.28,5684.85,165.12,37.388,4.1259
36405,Copper_Alloy,117000,1140.38,58.8,50.63,4444.07,188.17,30.152,4.196
36406,Stainless_304,193000,325.75,11.19,51.41,189.27,143.76,7.676,0.0527
36407,Stainless_304,193000,1365.89,31.72,72.49,3179.22,150.13,79.069,6.9209
36408,Magnesium_AZ31B,45000,1070.0,36.59,63.83,4399.31,189.07,31.735,7.9364
36409,Copper_Alloy,117000,821.96,48.34,67.75,7593.14,196.94,51.423,2.7942
36410,Brass,105000,1481.87,21.3,96.44,4526.41,176.76,13.686,1.6602
36411,Stainless_304,193000,946.3,44.54,31.49,1293.01,299.53,145.098,14.2066
36412,Steel_Mild,200000,890.56,37.98,111.83,23874.29,3.53,22.165,0.3917
36413,Steel_High_Carbon,210000,657.67,38.12,73.26,18340.13,254.21,342.565,6.3798
36414,Brass,105000,1065.17,56.63,56.56,4812.24,61.68,150.2,19.0343
36415,Brass,105000,1120.77,35.66,76.2,5016.4,188.77,26.674,2.5999
36416,Brass,105000,751.3,15.62,42.64,265.47,351.21,6.835,0.5412
36417,Brass,105000,723.59,43.13,67.53,5517.54,216.8,74.531,3.5915
36418,Nylon_66,3000,1306.79,50.91,70.07,712.27,128.46,17.624,94.7517
36419,Brass,105000,1122.69,11.67,30.5,113.1,13.04,16.145,4.1547
36420,Copper_Alloy,117000,1517.97,21.85,94.15,950.53,299.57,39.118,5.4214
36421,Brass,105000,695.1,45.69,45.09,4617.41,159.85,73.545,4.8586
36422,Copper_Alloy,117000,1184.24,38.46,48.26,1246.91,334.16,43.722,7.1384
36423,Steel_Mild,200000,1016.71,37.05,44.06,2688.4,126.62,184.022,14.3119
36424,Polycarbonate,2400,1182.39,35.46,78.52,185.42,79.81,5.936,29.2889
36425,Steel_Mild,200000,895.65,46.62,88.44,10390.58,291.15,143.854,4.318
36426,Polycarbonate,2400,408.63,41.36,118.31,7651.58,44.23,23.893,8.8637
36427,Steel_Mild,200000,314.56,17.66,101.96,20380.67,182.06,18.872,0.0302
36428,Polycarbonate,2400,600.36,15.56,96.0,1476.09,235.85,31.312,32.0024
36429,Aluminum_6061,69000,285.64,48.56,25.28,4991.95,74.31,266.703,8.2763
36430,Polycarbonate,2400,446.07,28.58,65.08,3273.88,150.54,37.202,30.2369
36431,Steel_High_Carbon,210000,368.92,33.71,62.12,8508.0,224.53,104.686,0.7062
36432,Steel_Mild,200000,1147.09,38.81,112.69,2233.7,358.36,1.404,0.0349
36433,Steel_High_Carbon,210000,1743.92,58.88,94.44,17592.65,162.7,107.288,10.6567
36434,Polycarbonate,2400,1335.92,54.04,41.31,502.25,3.24,2.692,29.609
36435,Titanium_6Al4V,114000,252.11,50.51,75.54,25961.64,222.17,97.24,0.4502
36436,Copper_Alloy,117000,1728.64,45.81,81.35,5259.34,92.57,179.853,37.6226
36437,Stainless_304,193000,1055.84,22.99,90.45,5476.69,155.72,78.302,3.2293
36438,Copper_Alloy,117000,1450.69,39.12,53.23,182.92,198.28,4.589,1.015
36439,Copper_Alloy,117000,936.0,13.16,72.59,557.49,146.76,25.25,1.702
36440,Stainless_304,193000,1634.28,55.09,22.52,225.52,46.83,57.852,23.6489
36441,Steel_Mild,200000,685.15,22.06,106.73,8430.12,326.21,79.842,1.1245
36442,Brass,105000,1037.61,14.47,52.13,1397.99,85.16,220.752,28.9197
36443,Nylon_66,3000,547.9,33.55,114.92,7362.35,76.73,53.821,30.8622
36444,Nylon_66,3000,329.6,14.2,83.24,3419.43,355.39,8.429,1.6331
36445,Polycarbonate,2400,351.33,36.16,108.12,2604.37,283.41,12.898,4.0064
36446,Magnesium_AZ31B,45000,905.58,44.26,104.05,2285.87,180.04,0.514,0.0102
36447,Nylon_66,3000,1195.17,13.63,76.38,210.09,293.27,17.492,72.3353
36448,Brass,105000,1451.37,51.38,35.13,1135.94,105.57,150.456,57.213
36449,Steel_High_Carbon,210000,1548.06,13.34,89.7,3338.68,135.13,205.872,17.2879
36450,Aluminum_6061,69000,727.15,47.34,56.69,954.1,272.93,27.359,2.4624
36451,Copper_Alloy,117000,1295.93,24.34,85.61,1249.95,132.34,40.692,4.5015
36452,Aluminum_6061,69000,1103.71,51.54,85.71,8264.64,232.59,116.019,15.767
36453,Steel_Mild,200000,898.48,53.07,118.07,23999.69,347.71,41.022,0.8485
36454,Nylon_66,3000,1049.69,57.13,101.74,6293.6,154.76,29.586,68.7884
36455,Steel_Mild,200000,1989.82,55.88,27.86,420.86,85.22,115.469,54.6885
36456,Aluminum_6061,69000,1033.89,22.58,32.58,270.07,191.08,13.795,4.2583
36457,Magnesium_AZ31B,45000,1978.28,58.71,23.04,327.79,195.99,34.623,86.5407
36458,Brass,105000,385.73,17.46,98.68,10223.13,179.74,6.565,0.0226
36459,Aluminum_6061,69000,1366.13,17.62,61.15,1452.66,240.2,157.523,46.2443
36460,Copper_Alloy,117000,1878.12,52.06,52.27,2868.11,18.7,73.856,28.013
36461,Steel_Mild,200000,244.83,43.24,107.66,10509.49,268.22,31.411,0.0571
36462,Magnesium_AZ31B,45000,360.37,43.06,75.33,8109.59,302.9,61.851,1.5389
36463,Titanium_6Al4V,114000,1416.01,11.43,50.52,1530.15,322.34,274.401,63.1939
36464,Steel_High_Carbon,210000,1290.8,36.04,62.37,5428.16,21.7,113.142,9.4029
36465,Stainless_304,193000,894.09,42.19,82.17,7142.65,195.98,39.039,1.2444
36466,Stainless_304,193000,483.52,26.84,29.62,939.65,53.39,93.664,2.5336
36467,Titanium_6Al4V,114000,562.44,35.23,45.39,8292.47,166.26,96.664,3.7323
36468,Polycarbonate,2400,1173.55,46.15,118.96,1856.51,237.18,17.02,54.0943
36469,Brass,105000,1151.55,24.08,101.71,1060.44,153.19,13.662,1.0982
36470,Aluminum_6061,69000,851.48,16.17,82.89,4242.8,225.49,141.474,11.7582
36471,Aluminum_6061,69000,566.33,56.93,85.73,8766.84,150.03,37.195,1.2856
36472,Titanium_6Al4V,114000,1981.35,55.95,117.63,56943.06,101.95,857.538,166.959
36473,Titanium_6Al4V,114000,557.1,42.28,20.75,3008.85,282.14,540.913,47.2436
36474,Titanium_6Al4V,114000,1443.87,24.36,99.97,11703.8,83.19,414.293,50.4319
36475,Polycarbonate,2400,1175.15,54.25,105.38,927.18,137.37,7.474,26.7532
36476,Copper_Alloy,117000,1911.23,53.24,113.99,3510.07,346.46,14.189,2.4874
36477,Copper_Alloy,117000,621.38,54.04,86.12,24121.62,261.98,223.311,5.6762
36478,Stainless_304,193000,1154.33,53.83,51.89,4372.55,18.24,66.897,5.8009
36479,Steel_Mild,200000,1301.29,40.22,39.12,523.7,266.2,66.312,9.564
36480,Steel_Mild,200000,1393.58,52.94,83.3,7417.21,185.49,17.831,1.2553
36481,Steel_High_Carbon,210000,1532.65,49.59,107.16,23025.32,130.05,287.544,19.807
36482,Aluminum_6061,69000,1505.21,41.03,70.91,708.78,353.01,4.018,1.1657
36483,Aluminum_6061,69000,1648.26,47.63,112.75,2005.72,24.93,14.153,3.2147
36484,Aluminum_6061,69000,502.49,45.95,77.43,15495.14,175.26,18.377,0.4426
36485,Magnesium_AZ31B,45000,813.47,12.28,107.41,2249.9,344.63,22.22,1.8754
36486,Polycarbonate,2400,1182.86,19.5,119.11,667.59,148.86,9.111,28.8991
36487,Titanium_6Al4V,114000,1974.92,47.37,20.07,857.74,162.65,159.709,180.5232
36488,Steel_Mild,200000,1542.85,56.16,55.46,3184.68,278.8,168.837,24.13
36489,Polycarbonate,2400,929.88,17.86,75.99,392.24,57.21,18.006,56.3835
36490,Magnesium_AZ31B,45000,427.16,40.57,73.92,2773.13,28.67,16.234,0.5626
36491,Magnesium_AZ31B,45000,726.11,16.83,60.17,125.64,231.03,7.067,0.9067
36492,Aluminum_6061,69000,822.09,50.27,52.48,2880.13,305.65,84.047,10.3744
36493,Stainless_304,193000,1332.79,33.78,52.3,1146.4,319.57,64.847,7.5489
36494,Titanium_6Al4V,114000,762.93,20.0,40.27,4564.33,353.31,80.694,6.3436
36495,Copper_Alloy,117000,1230.1,25.67,30.22,208.69,211.49,34.551,9.7915
36496,Steel_Mild,200000,1859.55,17.36,116.41,3943.63,51.44,147.523,14.4814
36497,Magnesium_AZ31B,45000,1626.98,24.37,69.88,2119.43,137.32,118.793,66.1404
36498,Aluminum_6061,69000,943.42,20.72,79.5,423.38,273.16,18.299,1.9765
36499,Aluminum_6061,69000,1704.4,15.13,53.93,1137.41,29.4,130.985,67.5319
36500,Brass,105000,1931.22,15.8,48.26,398.03,7.5,16.878,8.0271
36501,Magnesium_AZ31B,45000,1440.78,24.38,73.58,2252.69,324.33,87.071,35.957
36502,Steel_Mild,200000,1275.82,45.57,52.92,317.72,152.26,8.989,0.9095
36503,Aluminum_6061,69000,764.55,19.54,108.19,13173.76,24.38,114.937,5.6938
36504,Brass,105000,952.55,53.56,86.57,4597.63,130.53,50.439,3.3111
36505,Polycarbonate,2400,1078.83,19.08,112.92,144.25,266.33,3.838,10.9658
36506,Copper_Alloy,117000,1580.68,15.94,29.95,399.28,172.91,33.52,15.5389
36507,Polycarbonate,2400,1134.13,37.61,96.67,944.69,135.13,13.097,47.6921
36508,Magnesium_AZ31B,45000,1965.15,51.84,85.19,1254.21,199.91,13.655,8.9897
36509,Steel_High_Carbon,210000,376.33,41.13,62.13,6862.13,97.43,97.367,0.7003
36510,Magnesium_AZ31B,45000,1255.01,10.5,70.63,1319.03,52.28,151.124,49.5529
36511,Stainless_304,193000,1252.41,36.27,50.14,2464.72,134.14,146.732,15.7513
36512,Copper_Alloy,117000,1227.37,15.75,31.61,165.65,13.08,17.868,4.7637
36513,Magnesium_AZ31B,45000,466.9,35.63,72.97,6781.7,166.48,25.996,1.0365
36514,Copper_Alloy,117000,1112.37,36.36,34.42,996.53,301.17,132.533,27.061
36515,Aluminum_6061,69000,1335.84,57.97,93.68,8833.44,262.95,138.379,25.4193
36516,Brass,105000,465.94,18.58,49.79,827.13,243.11,45.226,1.2396
36517,Stainless_304,193000,1878.76,16.03,109.07,1062.7,0.48,1.134,0.0591
36518,Copper_Alloy,117000,1948.43,29.68,102.37,3049.32,265.92,114.422,24.1573
36519,Titanium_6Al4V,114000,1905.98,15.75,91.78,8757.41,96.28,751.16,173.6789
36520,Brass,105000,995.1,44.97,114.11,22256.78,48.24,172.377,9.3271
36521,Steel_High_Carbon,210000,1778.86,29.71,64.05,5732.19,76.27,488.395,76.4779
36522,Titanium_6Al4V,114000,1913.51,28.54,34.16,820.46,5.53,28.095,17.0854
36523,Aluminum_6061,69000,527.83,29.42,81.97,14419.48,251.26,221.18,7.1842
36524,Brass,105000,1801.68,30.85,55.79,170.15,123.62,16.007,5.8927
36525,Magnesium_AZ31B,45000,538.98,17.77,112.88,8170.66,74.8,114.14,4.2936
36526,Steel_Mild,200000,1607.57,23.46,33.96,735.85,185.88,27.794,6.817
36527,Magnesium_AZ31B,45000,1797.58,45.95,115.2,5677.43,89.21,100.459,41.7234
36528,Steel_Mild,200000,1608.85,16.37,119.95,3098.67,144.33,75.374,5.3267
36529,Titanium_6Al4V,114000,1726.09,59.85,78.94,29799.51,18.04,262.306,56.5606
36530,Steel_High_Carbon,210000,602.96,27.81,29.87,2895.79,137.71,286.746,10.9776
36531,Nylon_66,3000,1247.19,38.66,66.72,842.76,2.02,1.618,6.6933
36532,Aluminum_6061,69000,270.74,32.2,54.5,9836.33,181.14,8.933,0.0485
36533,Magnesium_AZ31B,45000,328.83,34.53,58.82,1710.71,1.96,1.81,0.027
36534,Steel_High_Carbon,210000,1818.94,30.18,101.26,4902.41,207.73,81.892,8.3447
36535,Copper_Alloy,117000,550.57,34.99,94.51,2489.02,184.01,2.594,0.0338
36536,Copper_Alloy,117000,1459.43,19.54,117.35,5167.33,284.35,163.565,16.8481
36537,Magnesium_AZ31B,45000,1781.65,31.75,28.51,342.48,228.65,106.748,175.6604
36538,Steel_High_Carbon,210000,946.21,44.85,83.93,7551.77,60.42,119.093,3.9966
36539,Steel_High_Carbon,210000,877.94,30.11,50.93,6995.74,100.95,464.258,22.2565
36540,Polycarbonate,2400,479.73,27.07,108.26,1565.01,36.05,8.825,4.9348
36541,Steel_High_Carbon,210000,1025.04,26.8,59.09,4245.78,192.16,61.419,3.3181
36542,Steel_High_Carbon,210000,372.34,11.54,96.26,8361.15,210.98,96.895,0.4113
36543,Nylon_66,3000,352.67,35.17,118.66,12626.14,176.69,6.152,0.8078
36544,Copper_Alloy,117000,426.37,53.1,113.78,37051.63,41.33,96.241,0.8292
36545,Magnesium_AZ31B,45000,408.81,57.73,59.64,8136.18,284.06,95.038,3.9139
36546,Brass,105000,985.16,22.33,34.14,1009.95,359.49,3.367,0.3687
36547,Brass,105000,1481.29,37.95,30.69,612.28,57.01,127.987,57.9668
36548,Copper_Alloy,117000,1109.71,50.4,111.15,21939.09,342.51,74.305,4.4512
36549,Titanium_6Al4V,114000,318.38,12.67,37.83,326.27,280.62,33.955,0.5294
36550,Brass,105000,1678.5,18.68,99.8,4311.94,316.53,162.307,28.7814
36551,Stainless_304,193000,1907.9,34.97,58.47,1703.6,82.49,161.846,34.7777
36552,Brass,105000,1229.77,48.99,49.38,1952.28,219.27,76.966,14.8426
36553,Steel_Mild,200000,1669.52,56.75,54.02,1893.0,76.31,111.407,19.1341
36554,Brass,105000,1038.47,35.63,103.02,261.31,256.34,4.205,0.2781
36555,Steel_Mild,200000,1187.62,31.09,23.06,243.51,252.34,100.116,20.3899
36556,Steel_High_Carbon,210000,292.09,27.49,97.18,7610.0,318.62,36.427,0.0947
36557,Aluminum_6061,69000,300.24,34.0,34.1,1513.99,18.12,22.721,0.548
36558,Steel_High_Carbon,210000,1215.33,49.53,24.21,319.32,36.08,47.452,9.1485
36559,Brass,105000,1070.53,27.64,30.9,933.11,250.52,214.487,50.4181
36560,Steel_High_Carbon,210000,383.76,18.45,43.01,735.11,272.5,49.645,0.5386
36561,Nylon_66,3000,1816.45,54.45,102.19,935.82,304.43,14.894,106.154
36562,Copper_Alloy,117000,593.77,48.06,26.56,538.23,45.5,40.643,3.0512
36563,Titanium_6Al4V,114000,840.0,52.11,49.85,20885.27,349.93,150.091,11.765
36564,Brass,105000,1122.85,35.72,87.9,4932.09,320.8,77.355,6.9299
36565,Aluminum_6061,69000,1459.81,50.28,48.9,3533.87,330.78,126.943,52.9169
36566,Steel_High_Carbon,210000,1098.84,11.45,92.04,2251.45,296.49,138.01,5.7043
36567,Steel_High_Carbon,210000,1221.12,55.4,82.42,20640.47,149.01,210.865,11.8834
36568,Polycarbonate,2400,684.26,11.63,117.41,1803.53,169.66,9.609,9.1903
36569,Steel_High_Carbon,210000,611.5,31.59,80.0,777.41,246.72,13.102,0.1923
36570,Copper_Alloy,117000,1914.5,33.79,61.86,626.91,327.84,29.902,10.0086
36571,Stainless_304,193000,924.52,20.57,101.13,2704.41,123.83,60.025,1.7294
36572,Aluminum_6061,69000,1399.11,11.46,106.91,708.09,211.31,24.089,4.172
36573,Nylon_66,3000,1070.81,36.95,45.77,326.45,37.75,16.744,92.3509
36574,Brass,105000,1690.15,40.62,89.6,7339.89,137.53,155.643,31.1966
36575,Copper_Alloy,117000,1220.99,38.32,54.89,2065.89,271.72,131.082,20.2776
36576,Nylon_66,3000,244.13,14.34,68.48,1393.97,260.42,30.394,5.7905
36577,Steel_High_Carbon,210000,1737.78,35.94,31.1,727.87,302.92,183.627,56.4943
36578,Magnesium_AZ31B,45000,1471.24,37.83,70.5,3475.4,33.03,90.049,40.4537
36579,Magnesium_AZ31B,45000,949.42,57.72,27.01,1354.53,132.78,135.093,66.4948
36580,Nylon_66,3000,384.66,39.66,39.94,1736.75,359.11,2.081,0.8223
36581,Brass,105000,1446.62,27.85,107.95,744.96,10.64,3.924,0.4528
36582,Nylon_66,3000,821.09,57.74,102.82,5014.4,263.67,40.375,58.609
36583,Steel_High_Carbon,210000,1227.85,30.83,115.7,24697.63,79.36,434.929,17.9237
36584,Magnesium_AZ31B,45000,1213.87,28.52,103.24,2770.09,81.46,65.818,13.8779
36585,Steel_High_Carbon,210000,1024.19,51.61,76.0,22823.83,299.79,411.424,17.8913
36586,Titanium_6Al4V,114000,1421.71,15.46,30.31,311.83,277.56,185.751,72.4014
36587,Steel_High_Carbon,210000,1228.17,18.71,69.63,5220.79,312.01,317.902,21.6718
36588,Steel_Mild,200000,1235.86,17.27,118.36,5220.8,290.38,151.014,6.452
36589,Magnesium_AZ31B,45000,404.32,10.4,36.74,1094.51,9.15,32.926,1.9828
36590,Steel_High_Carbon,210000,663.85,13.24,61.48,5694.77,119.2,399.384,9.0035
36591,Aluminum_6061,69000,693.58,20.23,89.91,5342.81,72.02,130.428,6.6851
36592,Copper_Alloy,117000,1242.61,32.8,62.52,3652.66,136.11,148.58,20.7235
36593,Copper_Alloy,117000,1812.13,54.35,55.36,1482.94,279.77,95.487,32.2428
36594,Steel_High_Carbon,210000,1255.62,50.88,82.38,5043.35,241.89,97.663,5.8967
36595,Brass,105000,1151.18,23.54,82.91,3286.47,170.13,25.716,2.4404
36596,Magnesium_AZ31B,45000,1870.6,23.5,94.61,3187.96,192.95,39.526,20.8867
36597,Brass,105000,1478.17,48.08,27.01,795.93,9.94,35.344,17.8428
36598,Stainless_304,193000,522.2,42.31,89.61,24797.47,120.9,200.118,2.0627
36599,Steel_Mild,200000,486.55,38.26,119.79,14606.02,82.68,77.872,0.5074
36600,Titanium_6Al4V,114000,649.62,52.28,82.64,8926.56,106.43,94.195,2.7913
36601,Nylon_66,3000,686.53,42.78,36.0,852.06,339.08,23.126,65.7637
36602,Polycarbonate,2400,1700.41,19.79,74.98,544.0,197.67,15.494,162.1939
36603,Brass,105000,722.16,33.89,119.41,10360.39,233.01,75.928,2.0576
36604,Copper_Alloy,117000,1931.54,19.29,57.07,1131.06,37.11,126.71,46.8902
36605,Brass,105000,1076.09,47.33,55.3,5271.68,41.23,156.542,20.606
36606,Nylon_66,3000,844.17,42.28,51.9,1232.27,340.32,18.991,56.3155
36607,Steel_Mild,200000,1368.62,48.62,109.5,3721.59,298.12,46.592,2.6363
36608,Steel_Mild,200000,1011.86,25.51,25.91,403.86,150.25,71.579,9.3579
36609,Steel_Mild,200000,1387.01,10.78,95.1,2619.34,214.28,128.097,8.4917
36610,Copper_Alloy,117000,1968.77,18.48,21.1,264.08,7.19,48.127,49.6719
36611,Nylon_66,3000,370.74,42.08,98.21,1448.96,313.75,6.015,1.7843
36612,Aluminum_6061,69000,1393.23,51.2,61.74,1634.77,309.33,54.499,16.4525
36613,Copper_Alloy,117000,676.17,16.05,69.53,3055.19,212.24,87.616,3.193
36614,Copper_Alloy,117000,1514.8,23.51,61.93,116.88,137.8,7.974,1.6708
36615,Titanium_6Al4V,114000,1675.14,32.9,28.84,387.02,287.72,135.534,77.0461
36616,Nylon_66,3000,1423.18,22.68,61.38,241.14,22.12,9.236,66.5402
36617,Steel_High_Carbon,210000,768.46,52.37,106.93,52138.35,313.94,296.055,5.0683
36618,Brass,105000,947.61,39.7,31.35,699.58,276.13,101.429,18.4333
36619,Nylon_66,3000,337.08,34.53,76.11,7021.08,188.16,12.759,3.356
36620,Steel_Mild,200000,1698.98,38.97,67.39,2697.07,246.44,142.831,20.3315
36621,Stainless_304,193000,1529.61,18.18,59.1,266.89,162.64,11.748,1.5739
36622,Steel_Mild,200000,421.56,15.88,65.55,5665.98,272.76,210.527,1.8959
36623,Steel_Mild,200000,1286.62,42.75,74.25,1916.88,258.67,61.701,4.5751
36624,Copper_Alloy,117000,541.29,58.02,106.62,9579.78,211.69,26.184,0.3881
36625,Aluminum_6061,69000,1102.9,59.75,58.1,5482.35,223.58,125.174,25.0825
36626,Stainless_304,193000,510.19,55.95,47.01,2925.66,173.07,9.85,0.1672
36627,Aluminum_6061,69000,1947.0,53.83,116.57,13271.49,180.2,2.855,0.24
36628,Copper_Alloy,117000,1398.22,52.67,34.88,837.99,79.48,107.956,34.4496
36629,Titanium_6Al4V,114000,265.99,37.97,43.35,39700.22,345.33,248.715,2.147
36630,Steel_High_Carbon,210000,1922.08,42.85,108.67,6609.47,90.92,150.681,16.255
36631,Aluminum_6061,69000,1626.78,18.36,76.87,3033.04,273.18,272.636,90.6281
36632,Aluminum_6061,69000,278.85,55.42,45.38,6232.38,124.59,76.805,1.2452
36633,Copper_Alloy,117000,295.95,20.34,71.3,10578.14,297.38,165.518,1.1291
36634,Steel_Mild,200000,1670.99,59.8,77.63,6781.93,115.29,171.252,20.4531
36635,Brass,105000,245.62,22.47,89.08,882.71,286.46,7.206,0.0301
36636,Titanium_6Al4V,114000,1388.4,17.84,118.2,2729.08,273.64,91.172,8.6814
36637,Aluminum_6061,69000,1070.54,33.55,61.95,2891.46,139.52,94.728,16.7374
36638,Aluminum_6061,69000,298.7,14.26,63.56,6992.6,85.25,218.347,2.9403
36639,Nylon_66,3000,671.05,55.74,96.61,4866.16,188.5,6.47,5.7693
36640,Stainless_304,193000,1167.74,57.9,65.31,1581.52,269.67,44.883,3.2359
36641,Brass,105000,1240.56,35.68,75.37,6310.0,326.48,129.966,16.5902
36642,Steel_High_Carbon,210000,333.17,18.37,23.31,933.73,213.27,104.456,1.5508
36643,Brass,105000,1722.17,38.21,108.57,8897.29,33.58,114.728,19.5819
36644,Magnesium_AZ31B,45000,1728.66,29.96,117.06,4249.18,247.32,99.56,37.4595
36645,Aluminum_6061,69000,1610.19,42.92,106.76,13179.1,343.79,75.45,17.0489
36646,Steel_High_Carbon,210000,1707.39,50.74,33.56,2111.63,54.01,307.021,84.4604
36647,Copper_Alloy,117000,730.79,19.32,28.84,141.01,137.16,26.352,2.7605
36648,Copper_Alloy,117000,1686.16,31.23,101.28,3093.56,279.42,96.574,15.4166
36649,Stainless_304,193000,1148.66,14.28,108.97,4094.17,64.04,150.892,6.2575
36650,Steel_Mild,200000,512.91,25.95,76.51,10453.83,321.89,135.115,1.4981
36651,Polycarbonate,2400,729.64,43.99,24.3,307.59,348.07,10.999,65.2153
36652,Polycarbonate,2400,205.99,17.76,23.47,128.68,215.89,9.792,4.7862
36653,Nylon_66,3000,261.84,23.61,28.42,771.32,135.49,45.415,23.8811
36654,Aluminum_6061,69000,1882.85,28.69,32.5,234.63,273.09,87.358,92.0511
36655,Copper_Alloy,117000,234.37,21.94,115.3,40799.91,114.18,189.94,0.4873
36656,Copper_Alloy,117000,1437.02,14.92,34.07,242.01,309.74,92.957,31.9971
36657,Copper_Alloy,117000,1104.81,15.98,75.29,160.23,26.15,5.289,0.4774
